iter	Passed	Remaining
398	105570	79641
399	105887	79415
400	106218	79200
401	106506	78952
402	106822	78725
403	107172	78522
404	107479	78287
405	107762	78035
406	108116	77833
407	108482	77639
408	108837	77436
409	109159	77210
410	109470	76975
411	109806	76758
412	110143	76540
413	110491	76329
414	110834	76115
415	111176	75899
416	111479	75656
417	111809	75431
418	112118	75191
419	112413	74942
420	112734	74710
421	113037	74465
422	113363	74235
423	113672	73994
424	114034	73786
425	114365	73559
426	114696	73330
427	114970	73065
428	115260	72810
429	115583	72575
430	115956	72372
431	116260	72124
432	116579	71886
433	116912	71656
434	117216	71407
435	117589	71201
436	117890	70950
437	118160	70680
438	118501	70453
439	118838	70222
440	119138	69970
441	119447	69722
442	119735	69462
443	120018	69199
444	120326	68950
445	120697	68738
446	121049	68513
447	121371	68271
448	121646	68003
449	121925	67736
450	122214	67475
451	122503	67214
452	122825	66971
453	123137	66722
454	123399	66445
455	123670	66174
456	123903	65882
457	124129	65587
458	124388	65310
459	124653	65036
460	124916	64761
461	125161	64476
462	125397	64188
463	125675	63921
464	125942	63648
465	126209	63375
466	126474	63102
467	126719	62818
468	126967	62536
469	127206	62249
470	127451	61967
471	127673	61672
472	127900	61381
473	128134	61093
474	128356	60800
475	128632	60532
476	128890	60256
477	129141	59977
478	129421	59712
479	129697	59444
480	129999	59189
481	130276	58921
482	130544	58650
483	130807	58376
484	131047	58093
485	131311	57820
486	131579	57549
487	131836	57273
488	132065	56985
489	132295	56698
490	132563	56427
491	132800	56143
492	133045	55863
493	133329	55598
494	133580	55321
495	133835	55045
496	134070	54761
497	134283	54468
498	134519	54185
499	134728	53891
500	134985	53616
501	135266	53351
502	135519	53076
503	135772	52800
504	136026	52525
505	136265	52244
506	136484	51955
507	136711	51670
508	136943	51387
509	137202	51114
510	137468	50844
511	137719	50568
512	137964	50291
513	138246	50026
514	138505	49754
515	138765	49482
516	138989	49197
517	139260	48929
518	139509	48653
519	139748	48374
520	140000	48100
521	140241	47821
522	140490	47546
523	140759	47277
524	140999	46999
525	141232	46719
526	141475	46442
527	141735	46171
528	141954	45887
529	142204	45612
530	142474	45344
531	142726	45071
532	142967	44794
533	143197	44514
534	143452	44242
535	143706	43969
536	143992	43707
537	144239	43432
538	144493	43160
539	144769	42894
540	144985	42611
541	145243	42340
542	145479	42063
543	145702	41782
544	145958	41511
545	146184	41231
546	146451	40963
547	146677	40684
548	146909	40406
549	147158	40134
550	147391	39857
551	147631	39582
552	147857	39304
553	148054	39017
554	148306	38746
555	148565	38477
556	148809	38204
557	149084	37939
558	149347	37670
559	149599	37399
560	149822	37121
561	150103	36858
562	150333	36582
563	150592	36313
564	150841	36041
565	151081	35768
566	151318	35494
567	151546	35218
568	151816	34952
569	152069	34682
570	152307	34409
571	152561	34139
572	152796	33865
573	153017	33589
574	153262	33317
575	153473	33039
576	153707	32766
577	153970	32498
578	154199	32224
579	154448	31954
580	154709	31687
581	154955	31417
582	155212	31149
583	155462	30879
584	155719	30611
585	155966	30341
586	156232	30075
587	156515	29812
588	156764	29543
589	157015	29273
590	157263	29004
591	157519	28736
592	157785	28470
593	158063	28206
594	158293	27934
595	158526	27662
596	158765	27391
597	159002	27120
598	159284	26857
599	159557	26592
600	159818	26326
601	160069	26057
602	160339	25792
603	160601	25526
604	160842	25256
605	161074	24985
606	161317	24715
607	161534	24442
608	161767	24172
609	162002	23901
610	162249	23633
611	162450	23358
612	162714	23093
613	162961	22825
614	163202	22556
615	163439	22287
616	163707	22022
617	163950	21753
618	164240	21491
619	164639	21243
620	164954	20984
621	165170	20712
622	165385	20440
623	165654	20175
624	165937	19912
625	166174	19643
626	166464	19380
627	166686	19110
628	166961	18846
629	167240	18582
630	167510	18317
631	167774	18051
632	168030	17785
633	168320	17522
634	168627	17261
635	168970	17003
636	169248	16738
637	169468	16468
638	169699	16199
639	169940	15931
640	170222	15667
641	170475	15401
642	170729	15134
643	170959	14866
644	171189	14597
645	171442	14331
646	171667	14062
647	171913	13795
648	172146	13527
649	172448	13265
650	172692	12998
651	172948	12732
652	173237	12468
653	173475	12201
654	173706	11934
655	173937	11666
656	174172	11399
657	174448	11135
658	174722	10870
659	174938	10602
660	175192	10336
661	175457	10071
662	175734	9807
663	175976	9540
664	176210	9274
665	176427	9006
666	176705	8742
667	176934	8475
668	177225	8212
669	177545	7949
670	177825	7685
671	178122	7421
672	178407	7157
673	178685	6892
674	178982	6628
675	179273	6364
676	179591	6101
677	179855	5836
678	180161	5571
679	180509	5309
680	180810	5044
681	181087	4779
682	181450	4516
683	181758	4251
684	182073	3987
685	182367	3721
686	182640	3456
687	182893	3189
688	183183	2924
689	183503	2659
690	183752	2393
691	184014	2127
692	184320	1861
693	184646	1596
694	184956	1330
695	185247	1064
696	185569	798
697	185856	532
698	186125	266
699	186434	0
