iter	RMSE
0	124.6147346
1	122.4739473
2	120.8101421
3	119.2727992
4	117.9983229
5	116.990627
6	116.1174672
7	115.4040267
8	114.7629731
9	114.1230923
10	113.6635425
11	113.2464832
12	112.9124512
13	112.6103394
14	112.3213881
15	112.093618
16	111.9805576
17	111.7649889
18	111.5752407
19	111.3920002
20	111.1936935
21	110.8925537
22	110.7067003
23	110.5820331
24	110.4471092
25	110.3823472
26	110.2907968
27	110.1233204
28	109.9618119
29	109.9406716
30	109.8686808
31	109.7672439
32	109.6668996
33	109.5546182
34	109.4627502
35	109.4179287
36	109.3451453
37	109.190123
38	109.100587
39	109.0137855
40	108.9502606
41	108.7857183
42	108.7408658
43	108.6648081
44	108.6209211
45	108.5013037
46	108.4092578
47	108.3229303
48	108.2055625
49	108.1156088
50	108.0350967
51	107.9474513
52	107.8687307
53	107.7887677
54	107.7870519
55	107.6592128
56	107.6219643
57	107.562622
58	107.494748
59	107.3976559
60	107.3082001
61	107.2362083
62	107.1644908
63	107.1369424
64	107.1041128
65	107.0496072
66	106.9563127
67	106.9099211
68	106.8707547
69	106.7517833
70	106.7392025
71	106.6526831
72	106.5663993
73	106.5375013
74	106.5026989
75	106.441029
76	106.3774102
77	106.3647661
78	106.334076
79	106.2726518
80	106.2143559
81	106.150306
82	106.0594717
83	106.0259395
84	105.9933833
85	105.9665409
86	105.9356486
87	105.8823326
88	105.834178
89	105.7560144
90	105.7291138
91	105.7154433
92	105.6203098
93	105.5095035
94	105.4657927
95	105.3349286
96	105.2352126
97	105.2134424
98	105.1807539
99	105.1504086
100	105.1097612
101	105.0814193
102	105.0301032
103	104.9751321
104	104.9222592
105	104.8675506
106	104.8004219
107	104.7894614
108	104.7445799
109	104.6511259
110	104.5562558
111	104.5509689
112	104.4821627
113	104.4692138
114	104.4360741
115	104.376974
116	104.3131809
117	104.237541
118	104.202296
119	104.1410755
120	104.1120519
121	104.1000049
122	104.0671517
123	104.0604399
124	104.026826
125	103.9926949
126	103.9321683
127	103.8543708
128	103.829646
129	103.7430391
130	103.6763127
